Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,8819515702,8819515702,,,20188,Unfound
,,,,,,,8871480907,8871480907,,,32018,Unfound
,,,,,,,8927560205,8927560205,,,8927560205,Unfound
,,,,,,,8819619209,8819619209,,,8819619209,Unfound
,,,,,,,9090857404,9090857404,,,9090857404,Unfound
,,,,,,,8871540506,8871540506,,,8871540506,Unfound
,,,,,,,5061804404,5061804404,,,5061804404,Unfound
,,,,,,,9213015100,9213015100,,,9213015100,Unfound
,,,,,,,5061905904,5061905904,,,89140,Unfound
,,,,,,,8819661208,8819661208,,,46686,Unfound
,,,,,,,8819669101,8819669101,,,124646,Unfound
,,,,,,,5062056407,5062056407,,,127888,Unfound
,,,,,,,9090864906,9090864906,,,299095,Unfound
,,,,,,,8819671806,8819671806,,,189,Unfound
,,,,,,,8819690810,8819690810,,,645296,Unfound
,,,,,,,8872072908,8872072908,,,27335,Unfound
,,,,,,,9090911103,9090911103,,,2212408,Unfound
,,,,,,,5064096710,5064096710,,,109326,Unfound
,,,,,,,8819852507,8819852507,,,72888,Unfound
,,,,,,,8819962402,8819962402,,,1,Unfound
,,,,,,,5065216901,5065216901,,,8529,Unfound
,,,,,,,8820021704,8820021704,,,40638,Unfound
,,,,,,,8872699605,8872699605,,,73042,Unfound
,,,,,,,8872854007,8872854007,,,12250,Unfound
,,,,,,,9213055505,9213055505,,,57082,Unfound
,,,,,,,8820382905,8820382905,,,2,Unfound
,,,,,,,591674408,591674408,,,50762,Unfound
,,,,,,,9092151609,9092151609,,,21019,Unfound
,,,,,,,8873032901,8873032901,,,48607,Unfound
,,,,,,,9158645906,9158645906,,,1,Unfound
,,,,,,,5068548100,5068548100,,,89460,Unfound
,,,,,,,8873087410,8873087410,,,54599,Unfound
,,,,,,,8820439504,8820439504,,,237373,Unfound
,,,,,,,5069041508,5069041508,,,95935,Unfound
,,,,,,,9092402709,9092402709,,,9092402709,Unfound
,,,,,,,8820537908,8820537908,,,8820537908,Unfound
,,,,,,,5069220003,5069220003,,,5069220003,Unfound
,,,,,,,8873122902,8873122902,,,8873122902,Unfound
,,,,,,,5069512106,5069512106,,,5069512106,Unfound
,,,,,,,8820543207,8820543207,,,8820543207,Unfound
,,,,,,,9092551704,9092551704,,,23206,Unfound
,,,,,,,8873128308,8873128308,,,1,Unfound
,,,,,,,8873258703,8873258703,,,7568,Unfound
,,,,,,,8873426709,8873426709,,,29759,Unfound
