Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
Bookwise Ltd,566 568,Coventry Road,,BIRMINGHAM,B10 0UN,03801N12,1415852241008,10690,,E,
Rollinson House Farm,,Little Scotland,,Bolton,BL6 5LN,04510304,1610011454060,95920,,E,
Library,,Lazer House,,Norwich,NR3 4JB,03136202,1012682558114,10443,,E,
ENGEBRET LTD,,SANDWICK ROAD FILLING STATION,,Stornoway,HS1 2SL,03801P08,1712792951207,182497,,E,
Unit 128,,Percy Street,,SHEFFIELD,S3 8BT,0380102B,2333909466815,575,,E,
The Green,,Highams Road,,HOCKLEY,SS5 4DG,03136202,1012605783429,11028,,E,
,Site A4,Wearfield,,Sunderland,SR5 2TA,0084505A,1507660420043,,,E,
,803-805,Melton Road,,Leicester,LE4 8EE,04032N13,1100012576693,,,E,
,17,Poulton Street,,Preston,PR4 2AA,00900374,1600000094861,,,E,
,1202,WALKER ROAD,,NEWCASTLE UPON TYNE,NE6 3JN,0084502C,1591053761702,,,E,
,,Unit F1,,BASINGSTOKE,RG22 6HY,00845H86,2000027428141,,,E,
"BOJANGLES,7",,SEA ROAD,,SUNDERLAND,SR6 9BP,0084502B,1591042376110,,,E,
Branksome Chambers,,Branksomewood Road,,Fleet,GU51 4JS,03800H07,2000017405625,,,D,
,,,,,,4874203,4874203,4874203,4874203,,4874203
,,,,,,800071,800071,800071,800071,,800071
,78,Brook Street,,Chester,CH1 3DN,03801D02,1300010246020,2753,,E,
Unit 5 Plot 5,,Bracewell Ave,,Lancashire,FY6 8JF,03801004,1610004349111,4200,,E,
,2,Wonastow Road,,MONMOUTH,NP25 5AH,03801N12,2199991618501,1102,,E,
,290,Shields Road,,Newcastle upon Tyne,NE6 1DX,0090002D,1591010778290,,,E,
Unit 2,332-334,Walworth Road,,London,SE17 2NA,00845204,1200041202243,,,E,
,19,Figtree Lane,,Sheffield,S1 2DJ,03800999,2331611458911,,,D,
,80,Aldwick Road,,Bognor Regis,PO21 2PE,03801H03,2000018557523,,,E,
Unit A,,Novo Works,,Sheffield,S9 3XN,0481202D,2333902637713,60367,,E,
,17,Blackstock Road,,London,N4 2JF,03801204,1200052325078,25251,,E,
WHITE HORSE VINTAGE,,White Horse Lane,,LEICESTER,LE4 4EF,00845058,1100051241811,,,E,
Maes Llwyn,,,,Llanfairpwllgwyngyll,LL61 5BX,03801D01,1300012443487,,,E,
Unit 13b,,Tanfield Ind Est,,Stanley,DH9 9UU,0084505A,1592007606801,,,E,
,154,Church Road,,Hove,BN3 2DL,00900204,1900026428185,,,E,
,,,,,,180908,180908,180908,180908,,180908
,,,,,,3800203,3800203,3800203,3800203,,3800203
La Fontana,,Oxford Road,,Wantage,OX12 0HP,03801H08,2000009383630,40350,,E,
Second Floor,16-18,Whitechapel Road,,LONDON,E1 1EW,03801203,1200024381259,336,,E,
,5,Elmfield Road,,NEWCASTLE UPON TYNE,NE3 4AY,0380102B,1591058550298,6397,,E,
Unit 15,,Rydons Industrial Estate,,Newton Abbot,TQ12 3SJ,03801N12,2200020043528,5309,,E,
