Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
K T'arn,37,Horsemarket,,Barnard Castle,DL12 8LX,0380102D,1591023148065,36,24/10/2027,E,
,1c,Eshton Road,,SKIPTON,BD23 3SE,0380102B,2310174833011,7206,1/4/2028,E,
,19,Chester Street,,Chester,CH4 8BL,03801D02,1300010262280,9603,8/1/2028,E,
,Non-PAF De,St. Saviours Road,,LEICESTER,LE5 4HJ,04811N14,1100013009000,33263,21/3/2026,E,
,27,Cowper St,,London,EC2A 4AP,03801202,1200024600198,7925,21/8/2026,E,
,17-23,Lancing Road,,Croydon,CR0 3EN,00900204,1900043000646,,1/10/2026,E,
,724,Christchurch Road,,Bournemouth,BH7 6BZ,03104H34,2000020463479,65311,6/5/2026,E,
Stairltg Ltg,6,Kenwood Court,,West Sussex,PO22 7EZ,03801H01,2000018601759,263,4/4/2026,E,
THE SPICE LOUNGE,8-10,Wensum Street,,Norfolk,NR3 1HR,03136204,1012690151100,,1/8/2026,E,
"Unit 1, Marlow House",22,Marlow Street,,BLYTH,NE24 2RQ,0404302C,1591044017312,,31/10/2026,E,
54-56,,Windermere Raod,,Cheltenham,GL51 3PH,03801N14,1419350961007,52196,25/3/2027,E,
,15,Wood Street,,Bolton,BL1 1EB,04511591,1610029818499,,2/11/2025,D,
,105,Coventry Street,,BIRMINGHAM,B5 5NY,00845127,1441003077004,,1/8/2027,E,
,,Barnard Road,,Bradford,BD4 7DX,,2312720411515,4780,7/4/2026,1,
,20,Beeches Walk,,Sutton Coldfield,B73 6HN,,1418210521002,,26/3/2027,1,
,45,North View,,BRISTOL,BS6 7PY,04040210,2200016510889,,20/12/2027,E,
Three Tuns Hotel,,Murray Street,,Filey,YO14 9DG,0404302D,1591041180140,32040,13/5/2027,E,
,69,Regent Street,,BRISTOL,BS15 8LQ,03801110,2200017792750,13565,2/11/2025,E,
,2,Farmer Street,,London,W8 7SN,03801201,1200022516631,29065,1/10/2026,E,
