Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,67791310,67791310,,,81406,Unfound
,,,,,,,8882268808,8882268808,,,75851,Unfound
,,,,,,,9154878404,9154878404,,,90345,Unfound
,,,,,,,4008213506,4008213506,,,1,Unfound
,,,,,,,4166133901,4166133901,,,8657,Unfound
,,,,,,,51479507,51479507,,,51479507,Unfound
,,,,,,,9150361503,9150361503,,,2045,Unfound
,,,,,,,1863408902,1863408902,,,1863408902,Unfound
,,,,,,,1568316800,1568316800,,,20261,Unfound
,,,,,,,9089704407,,,,,Unfound
,,,,,,,3408622308,3408622308,,,10877,Unfound
,,,,,,,81184001,81184001,,,1,Unfound
,,,,,,,4232211302,4232211302,,,56192,Unfound
,,,,,,,2189177708,2189177708,,,11922,Unfound
,,,,,,,9081656707,9081656707,,,4712,Unfound
,,,,,,,3002112001,3002112001,,,26159,Unfound
,,,,,,,77784409,77784409,,,236836,Unfound
,,,,,,,9188738707,9188738707,,,238672,Unfound
,,,,,,,9157265105,9157265105,,,286486,Unfound
,,,,,,,16383708,16383708,,,224024,Unfound
,,,,,,,8833480410,8833480410,,,27575,Unfound
,,,,,,,1119329710,1119329710,,,34350,Unfound
,,,,,,,14242006,14242006,,,59167,Unfound
,,,,,,,15434907,15434907,,,107744,Unfound
,,,,,,,57605000,57605000,,,38065,Unfound
,,,,,,,2406897509,2406897509,,,3719,Unfound
,,,,,,,17737307,17737307,,,40426,Unfound
,,,,,,,63378809,63378809,,,42009,Unfound
,,,,,,,3966618503,3966618503,,,111898,Unfound
,,,,,,,19622210,19622210,,,1,Unfound
,,,,,,,53482102,53482102,,,26854,Unfound
,,,,,,,2069927706,2069927706,,,62376,Unfound
,,,,,,,612028205,612028205,,,13619,Unfound
,,,,,,,3934584405,3934584405,,,1598,Unfound
,,,,,,,4033313200,4033313200,,,16232,Unfound
,,,,,,,661936805,661936805,,,13810,Unfound
,,,,,,,2960284203,2960284203,,,28681,Unfound
,,,,,,,1615224105,1615224105,,,25805,Unfound
,,,,,,,11721800,11721800,,,11721800,Unfound
,,,,,,,62965909,62965909,,,62965909,Unfound
,,,,,,,9088507400,9088507400,,,9088507400,Unfound
,,,,,,,90555909,90555909,,,36393,Unfound
,,,,,,,80445301,80445301,,,173698,Unfound
,,,,,,,570365703,570365703,,,4615,Unfound
,,,,,,,9203609606,9203609606,,,62177,Unfound
,,,,,,,68934300,68934300,,,125627,Unfound
,,,,,,,2723238408,2723238408,,,54873,Unfound
,,,,,,,11013009,11013009,,,1,Unfound
,,,,,,,1607811001,1607811001,,,19132,Unfound
,,,,,,,8819690810,8819690810,,,645296,Unfound
,,,,,,,2996723802,2996723802,,,1,Unfound
,,,,,,,3357026400,3357026400,,,564,Unfound
,,,,,,,22139705,22139705,,,101690,Unfound
,,,,,,,71624502,71624502,,,15748,Unfound
,,,,,,,9185874509,9185874509,,,24749,Unfound
,,,,,,,66484509,66484509,,,98566,Unfound
,,,,,,,50464904,50464904,,,1,Unfound
,,,,,,,9297317107,9297317107,,,9297317107,Unfound
,,,,,,,8817526809,8817526809,,,256183,Unfound
,,,,,,,9109225106,9109225106,,,21095,Unfound
,,,,,,,19432800,19432800,,,19432800,Unfound
,,,,,,,2331771628714,,,,,Unfound
,,,,,,,1200030104877,,,,,Unfound
,,,,,,,8819920004,,,,,Unfound
,,,,,,,8899608309,8899608309,,,101752,Unfound
,,,,,,,1525355501,1525355501,,,25124,Unfound
,,,,,,,2209473502,2209473502,,,91736,Unfound
,,,,,,,9088503201,9088503201,,,50504,Unfound
,,,,,,,3920002307,3920002307,,,26663,Unfound
,,,,,,,76802907,76802907,,,134055,Unfound
,,,,,,,2992914800,2992914800,,,11650,Unfound
,,,,,,,1547706302,1547706302,,,1895,Unfound
,,,,,,,68995904,68995904,,,130934,Unfound
,,,,,,,930598102,930598102,,,1,Unfound
,,,,,,,1267676905,1267676905,,,16559,Unfound
,,,,,,,4208715803,4208715803,,,53887,Unfound
,,,,,,,65032502,65032502,,,217193,Unfound
,,,,,,,1669939209,1669939209,,,56325,Unfound
,,,,,,,8819832703,8819832703,,,11589,Unfound
,,,,,,,8921842005,8921842005,,,397137,Unfound
,,,,,,,67692701,67692701,,,824,Unfound
,,,,,,,333106,333106,,,49164,Unfound
,,,,,,,3227397602,3227397602,,,3227397602,Unfound
,,,,,,,63493910,63493910,,,29,Unfound
,,,,,,,45210802,45210802,,,195963,Unfound
,,,,,,,8927588710,8927588710,,,32612,Unfound
,,,,,,,77963409,77963409,,,77325,Unfound
,,,,,,,2532754200,2532754200,,,52697,Unfound
,,,,,,,8934463501,8934463501,,,43452,Unfound
,,,,,,,47416608,47416608,,,47416608,Unfound
,,,,,,,9179334805,9179334805,,,1,Unfound
,,,,,,,8822101106,,,,,Unfound
,,,,,,,18087108,18087108,,,22363,Unfound
,,,,,,,2426617702,2426617702,,,6537,Unfound
,,,,,,,3296307903,3296307903,,,22829,Unfound
,,,,,,,4239772704,4239772704,,,29361,Unfound
,,,,,,,18134405,18134405,,,310101,Unfound
