Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
,56,LONDON ROAD,,WATERLOOVILLE,PO7 5LN,04075140,2000015088581,,6/11/2025,D,
,194,Chapel Street,,SALFORD,M3 6BY,,54674408,45896,6/11/2025,,64841
Unit 1a,,Watchmoor Road,,Camberley,GU15 3AJ,,2000004714586,40127,19/10/2027,E,
,,High Street,,Henfield,BN5 9DB,,1900045384406,,27/5/2028,1,
,,,,,,,54823803,54823803,,,43237
,,,,,,,3290117407,3290117407,,,8940
,,,,,,,3409063101,3409063101,,,10207
,,,,,,,8450770790,8450770790,,,8450770790
,,,,,,,554543204,554543204,,,43859
,14,Whitehall Crescent,,Dundee,DD1 4AU,00900S14,1716011785852,,14/10/2028,E,
CASTLE PIZZA,38,MARKET PLACE,,CHESTERFIELD,S44 6PN,04828N12,1100008572075,502,11/8/2026,E,
,,,,,,,164356296,164356296,,,164356296
,21,Station Street,,Sittingbourne,ME10 3DU,,1900024241679,,13/6/2026,1,
,,,,,,,7838844591,7838844591,,,7838844591
Worcester Lodge,32,Castle Road,,CLEVEDON,BS21 7DE,,2200013194320,,1/5/2026,1,
,30,King Street,,SANDWICH,CT13 9BT,,700920901,5559,17/5/2028,,4730
,,,,,,,2186779205,2186779205,,,60482
The Barn,,Parnell Road,,Clevedon,BS21 6DD,,2200032096398,,1/1/2017,1,
,,,,,,,1573455440,1573455440,,,1573455440
,,,,,,,1733367330,1733367330,,,1733367330
Unit4b,,Scotts Close,,Salisbury,SP5 3RA,03801H09,2000051287052,58793,1/6/2026,E,
,,,,,,,1925445557,1925445557,,,1925445557
,7,Market Place,,York,YO42 2AS,,2360793464519,89874,29/5/2026,1,
,,,,,,,1612253083,1612253083,,,1612253083
,1,North Street,,ILMINSTER,TA19 0DG,04874210,2200020998979,584,6/9/2026,E,
,58,Brunswick Street,,Nelson,BB9 0SL,,1610014257257,6264,19/11/2026,1,
,,,,,,,1288352904,1288352904,,,1288352904
,4,High Street,,Shepperton,TW17 9AW,,928497905,12751,6/11/2025,,928497905
Lombard House,,Cross Keys,,Lichfield,WS13 6DN,,2561178607,2561178607,7/11/2027,,2561178607
,143,Wincheap,,Canterbury,CT1 3SE,,1900047153249,,24/9/2028,1,
Seager Court,,Crockatt Road,,IPSWICH,IP7 6RL,,1030036422579,,26/9/2028,1,
Unit 9-10,,"Concorde Park, Amy Johnson Way",,YORK,YO30 4WT,0090002B,1570000075177,,20/4/2026,E,
,,,,,,,2079242740,2079242740,,,2079242740
,,,,,,,1912132488,1912132488,,,1912132488
,,,,,,,1332299600,1332299600,,,1332299600
,,Cwmdyllest,,Llandysul,SA44 4UT,,2199999373430,26865,20/1/2026,1,
,25,Marylebone High Street,,London,W1U 4PH,03801203,1200033623795,19603,26/5/2028,E,
,13-15,High Street,,Margate,CT9 1DL,,1900017185763,,6/12/2027,1,
,,28A Hardwick Street,,Buxton,SK17 6DH,,1610012301667,1079,9/2/2026,1,
,4,Shop,,LONDON,NW1 7HJ,04811204,1200025620761,74875,13/10/2026,E,
,,,,,,,1159867461,1159867461,,,1159867461
,,Cefn Hernin,,Carmarthen,SA32 8RG,,2199998887772,4727,6/10/2026,1,
,,,,,,,1214344224,1214344224,,,1214344224
,,36-38 Nansen Road,,Leicester,LE5 5FX,04811N12,1100013001020,7847,23/2/2028,E,
,26,Stafford Road,,CANNOCK,WS11 4AG,00845N14,1429574000002,,4/6/2026,E,
