Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,51412306.0,51412306.0,,,51412306.0,Unfound
,,,,,,,4154647209.0,4154647209.0,,,4154647209.0,Unfound
,,,,,,,203353602.0,203353602.0,,,203353602.0,Unfound
,,,,,,,603445804.0,603445804.0,,,603445804.0,Unfound
,,,,,,,9133327708.0,9133327708.0,,,9133327708.0,Unfound
,,,,,,,57942602.0,57942602.0,,,57942602.0,Unfound
,,,,,,,9093724209.0,9093724209.0,,,9093724209.0,Unfound
,,,,,,,2105844405.0,2105844405.0,,,2105844405.0,Unfound
,,,,,,,46987007.0,46987007.0,,,46987007.0,Unfound
,,,,,,,59726909.0,59726909.0,,,59726909.0,Unfound
,,,,,,,82083909.0,82083909.0,,,82083909.0,Unfound
,,,,,,,4202286203.0,4202286203.0,,,4202286203.0,Unfound
,,,,,,,8814683204.0,8814683204.0,,,8814683204.0,Unfound
,,,,,,,2778462110.0,2778462110.0,,,2778462110.0,Unfound
,,,,,,,52021307.0,52021307.0,,,52021307.0,Unfound
,,,,,,,50411501.0,50411501.0,,,50411501.0,Unfound
,,,,,,,9308699509.0,9308699509.0,,,9308699509.0,Unfound
,,,,,,,1100010959335.0,,,,,Unfound
,,,,,,,1012955095929.0,,,,,Unfound
,,,,,,,1411718141005.0,,,,,Unfound
,,,,,,,1012532128910.0,,,,,Unfound
,,,,,,,1100009184191.0,,,,,Unfound
,,,,,,,2000021494487.0,,,,,Unfound
,,,,,,,1013060451560.0,,,,,Unfound
,,,,,,,2000054140636.0,,,,,Unfound
,,,,,,,2200041923028.0,,,,,Unfound
,,,,,,,1012859516430.0,,,,,Unfound
,,,,,,,1012859516893.0,,,,,Unfound
,,,,,,,1100014215294.0,,,,,Unfound
,,,,,,,1713545750954.0,,,,,Unfound
,,,,,,,1160001216366.0,,,,,Unfound
,,,,,,,1100003856430.0,,,,,Unfound
,,,,,,,1800020219531.0,,,,,Unfound
,,,,,,,1414195541009.0,,,,,Unfound
,,,,,,,1900007365104.0,,,,,Unfound
,,,,,,,1413662701000.0,,,,,Unfound
,,,,,,,1012684014933.0,,,,,Unfound
,,,,,,,1800021530702.0,,,,,Unfound
,,,,,,,1610018692260.0,,,,,Unfound
,,,,,,,3912586207.0,3912586207.0,,,3912586207.0,Unfound
,,,,,,,1100001521942.0,,,,,Unfound
,,,,,,,9093236409.0,9093236409.0,,,9093236409.0,Unfound
,,,,,,,1419544650003.0,,,,,Unfound
,,,,,,,1100009880448.0,,,,,Unfound
,,,,,,,9155901804.0,9155901804.0,,,9155901804.0,Unfound
,,,,,,,1591046753414.0,,,,,Unfound
,,,,,,,1100021537097.0,,,,,Unfound
,,,,,,,3034556504.0,3034556504.0,,,3034556504.0,Unfound
