Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,1482323697,1482323697,,,1482323697,Unfound
,,,,,,,1273323501,1273323501,,,1273323501,Unfound
,,,,,,,1332920171,1332920171,,,1332920171,Unfound
,,,,,,,1934900267,1934900267,,,1934900267,Unfound
,,,,,,,1684770631,1684770631,,,1684770631,Unfound
,,,,,,,1992453500,1992453500,,,1992453500,Unfound
,,,,,,,1934832135,1934832135,,,1934832135,Unfound
,,,,,,,1942326080,1942326080,,,1942326080,Unfound
,,,,,,,1484542051,1484542051,,,1484542051,Unfound
,,,,,,,1252615447,1252615447,,,1252615447,Unfound
,,,,,,,1202398327,1202398327,,,1202398327,Unfound
,,,,,,,1892514141,1892514141,,,1892514141,Unfound
,,,,,,,1772424567,1772424567,,,1772424567,Unfound
,,,,,,,1530445945,1530445945,,,1530445945,Unfound
,,,,,,,1522595395,1522595395,,,1522595395,Unfound
,,,,,,,1245399999,1245399999,,,1245399999,Unfound
,,,,,,,1483564555,1483564555,,,1483564555,Unfound
,,,,,,,1454774392,1454774392,,,1454774392,Unfound
,,,,,,,1638778666,1638778666,,,1638778666,Unfound
,,,,,,,1932568080,1932568080,,,1932568080,Unfound
,,,,,,,8000285903,8000285903,,,8000285903,Unfound
,,,,,,,1407860930,1407860930,,,1407860930,Unfound
,,,,,,,1903528600,1903528600,,,1903528600,Unfound
,,,,,,,1228710063,1228710063,,,1228710063,Unfound
,,,,,,,1322431404,1322431404,,,1322431404,Unfound
,,,,,,,1254879676,1254879676,,,1254879676,Unfound
,,,,,,,1912365314,1912365314,,,1912365314,Unfound
,,,,,,,1290550342,1290550342,,,1290550342,Unfound
,,,,,,,1209214687,1209214687,,,1209214687,Unfound
,,,,,,,1489892969,1489892969,,,1489892969,Unfound
,,,,,,,1202740740,1202740740,,,1202740740,Unfound
,,,,,,,1228547662,1228547662,,,1228547662,Unfound
,,,,,,,1858465466,1858465466,,,1858465466,Unfound
,,,,,,,1404891898,1404891898,,,1404891898,Unfound
,,,,,,,3333550980,3333550980,,,3333550980,Unfound
,,,,,,,1992899097,1992899097,,,1992899097,Unfound
,,,,,,,1614953670,1614953670,,,1614953670,Unfound
,,,,,,,1614281180,1614281180,,,1614281180,Unfound
,,,,,,,1892514100,1892514100,,,1892514100,Unfound
,,,,,,,1296461000,1296461000,,,1296461000,Unfound
,,,,,,,1634850257,1634850257,,,1634850257,Unfound
,,,,,,,1925445907,1925445907,,,1925445907,Unfound
,,,,,,,1264791678,1264791678,,,1264791678,Unfound
,,,,,,,1483762754,1483762754,,,1483762754,Unfound
,,,,,,,1895638642,1895638642,,,1895638642,Unfound
,,,,,,,7776555862,7776555862,,,7776555862,Unfound
,,,,,,,7450915062,7450915062,,,7450915062,Unfound
,,,,,,,1895234344,1895234344,,,1895234344,Unfound
,,,,,,,1953457609,1953457609,,,1953457609,Unfound
,,,,,,,1527831070,1527831070,,,1527831070,Unfound
,,,,,,,1626872291,1626872291,,,1626872291,Unfound
,,,,,,,1942863841,1942863841,,,1942863841,Unfound
,,,,,,,1579348818,1579348818,,,1579348818,Unfound
,,,,,,,1695455625,1695455625,,,1695455625,Unfound
,,,,,,,1324471777,1324471777,,,1324471777,Unfound
,,,,,,,1614290532,1614290532,,,1614290532,Unfound
,,,,,,,1924650440,1924650440,,,1924650440,Unfound
,,,,,,,1473219966,1473219966,,,1473219966,Unfound
,,,,,,,1753883507,1753883507,,,1753883507,Unfound
,,,,,,,1142560720,1142560720,,,1142560720,Unfound
,,,,,,,1983280290,1983280290,,,1983280290,Unfound
,,,,,,,1260224221,1260224221,,,1260224221,Unfound
,,,,,,,1604801620,1604801620,,,1604801620,Unfound
,,,,,,,1902241453,1902241453,,,1902241453,Unfound
,,,,,,,8009172988,8009172988,,,8009172988,Unfound
,,,,,,,1268440934,1268440934,,,1268440934,Unfound
,,,,,,,1752435502,1752435502,,,1752435502,Unfound
,,,,,,,1604961161,1604961161,,,1604961161,Unfound
,,,,,,,1912814442,1912814442,,,1912814442,Unfound
,,,,,,,1227274220,1227274220,,,1227274220,Unfound
,,,,,,,1227367441,1227367441,,,1227367441,Unfound
,,,,,,,1227272302,1227272302,,,1227272302,Unfound
,,,,,,,1243863639,1243863639,,,1243863639,Unfound
,,,,,,,1243774900,1243774900,,,1243774900,Unfound
,,,,,,,1912759580,1912759580,,,1912759580,Unfound
,,,,,,,1437532434,1437532434,,,1437532434,Unfound
,,,,,,,125374,125374,,,125374,Unfound
,,,,,,,1162764516,1162764516,,,1162764516,Unfound
,,,,,,,155248,155248,,,155248,Unfound
,,,,,,,8006127248,8006127248,,,8006127248,Unfound
,,,,,,,104909,104909,,,104909,Unfound
,,,,,,,1215536932,1215536932,,,1215536932,Unfound
,,,,,,,142095,142095,,,142095,Unfound
,,,,,,,1243786893,1243786893,,,1243786893,Unfound
,,,,,,,212108,212108,,,212108,Unfound
,,,,,,,1616205203,1616205203,,,1616205203,Unfound
,,,,,,,126816,126816,,,126816,Unfound
,,,,,,,1282414747,1282414747,,,1282414747,Unfound
,,,,,,,127451,127451,,,127451,Unfound
,,,,,,,1142814113,1142814113,,,1142814113,Unfound
,,,,,,,150671,150671,,,150671,Unfound
,,,,,,,147810,147810,,,147810,Unfound
,,,,,,,1924848171,1924848171,,,1924848171,Unfound
,,,,,,,1213539754,1213539754,,,1213539754,Unfound
,,,,,,,122837,122837,,,122837,Unfound
,,,,,,,1212481302,1212481302,,,1212481302,Unfound
,,,,,,,114598,114598,,,114598,Unfound
,,,,,,,121778,121778,,,121778,Unfound
,,,,,,,7767225401,7767225401,,,7767225401,Unfound
,,,,,,,154827,154827,,,154827,Unfound
,,,,,,,1424751457,1424751457,,,1424751457,Unfound
,,,,,,,140834,140834,,,140834,Unfound
,,,,,,,1704880375,1704880375,,,1704880375,Unfound
,,,,,,,134483,134483,,,134483,Unfound
,,,,,,,1773608218,1773608218,,,1773608218,Unfound
,,,,,,,1535643800,1535643800,,,1535643800,Unfound
,,,,,,,102125,102125,,,102125,Unfound
,,,,,,,155141,155141,,,155141,Unfound
,,,,,,,1743462699,1743462699,,,1743462699,Unfound
,,,,,,,184351,184351,,,184351,Unfound
,,,,,,,137650,137650,,,137650,Unfound
,,,,,,,1452410555,1452410555,,,1452410555,Unfound
,,,,,,,1327843100,1327843100,,,1327843100,Unfound
,,,,,,,141089,141089,,,141089,Unfound
,,,,,,,1954230940,1954230940,,,1954230940,Unfound
,,,,,,,115742,115742,,,115742,Unfound
,,,,,,,1514588075,1514588075,,,1514588075,Unfound
,,,,,,,153979,153979,,,153979,Unfound
,,,,,,,1603411722,1603411722,,,1603411722,Unfound
,,,,,,,118750,118750,,,118750,Unfound
,,,,,,,7305309529,7305309529,,,7305309529,Unfound
,,,,,,,176639,176639,,,176639,Unfound
,,,,,,,1934429937,1934429937,,,1934429937,Unfound
,,,,,,,187915,187915,,,187915,Unfound
,,,,,,,1278784101,1278784101,,,1278784101,Unfound
,,,,,,,7707256366,7707256366,,,7707256366,Unfound
,,,,,,,142880,142880,,,142880,Unfound
,,,,,,,239-241,239-241,,,,Unfound
,,,,,,,1914473324,1914473324,,,1914473324,Unfound
,,,,,,,258-260,258-260,,,,Unfound
,,,,,,,1254382896,1254382896,,,1254382896,Unfound
,,,,,,,102-105,102-105,,,,Unfound
,,,,,,,245-251,245-251,,,,Unfound
,,,,,,,161-165,161-165,,,,Unfound
,,,,,,,1788535207,1788535207,,,1788535207,Unfound
,,,,,,,1933622213,1933622213,,,1933622213,Unfound
,,,,,,,1425617171,1425617171,,,1425617171,Unfound
,,,,,,,1784493555,1784493555,,,1784493555,Unfound
,,,,,,,1473749927,1473749927,,,1473749927,Unfound
,,,,,,,1202625050,1202625050,,,1202625050,Unfound
,,,,,,,1942726922,1942726922,,,1942726922,Unfound
,,,,,,,1924498003,1924498003,,,1924498003,Unfound
,,,,,,,7441359076,7441359076,,,7441359076,Unfound
,,,,,,,1865587086,1865587086,,,1865587086,Unfound
,,,,,,,1179668775,1179668775,,,1179668775,Unfound
,,,,,,,1254682262,1254682262,,,1254682262,Unfound
,,,,,,,1513788964,1513788964,,,1513788964,Unfound
,,,,,,,4157203,4157203,,,4157203,Unfound
,,,,,,,1675489297,1675489297,,,1675489297,Unfound
,,,,,,,1708223873,1708223873,,,1708223873,Unfound
,,,,,,,4138203,4138203,,,4138203,Unfound
,,,,,,,812204,812204,,,812204,Unfound
,,,,,,,4056210,4056210,,,4056210,Unfound
,,,,,,,1629584800,1629584800,,,1629584800,Unfound
,,,,,,,3801203,3801203,,,3801203,Unfound
,,,,,,,2805104,2805104,,,2805104,Unfound
,,,,,,,1526832461,1526832461,,,1526832461,Unfound
,,,,,,,1539531339,1539531339,,,1539531339,Unfound
,,,,,,,4139202,4139202,,,4139202,Unfound
,,,,,,,4005004,4005004,,,4005004,Unfound
,,,,,,,1753543140,1753543140,,,1753543140,Unfound
,,,,,,,4829203,4829203,,,4829203,Unfound
,,,,,,,1512070932,1512070932,,,1512070932,Unfound
,,,,,,,845071,845071,,,845071,Unfound
,,,,,,,1691662088,1691662088,,,1691662088,Unfound
,,,,,,,4812204,4812204,,,4812204,Unfound
,,,,,,,8000246279,8000246279,,,8000246279,Unfound
,,,,,,,3802203,3802203,,,3802203,Unfound
,,,,,,,1691718896,1691718896,,,1691718896,Unfound
,,,,,,,4138202,4138202,,,4138202,Unfound
,,,,,,,"845570
3801201",,,,,Unfound
,,,,,,,3457740740,3457740740,,,3457740740,Unfound
,,,,,,,4630225,4630225,,,4630225,Unfound
,,,,,,,"900204
3801204",,,,,Unfound
,,,,,,,1262401020,1262401020,,,1262401020,Unfound
,,,,,,,4808210,4808210,,,4808210,Unfound
,,,,,,,1372571200,1372571200,,,1372571200,Unfound
,,,,,,,1801001,1801001,,,1801001,Unfound
,,,,,,,1603763939,1603763939,,,1603763939,Unfound
,,,,,,,3801200,3801200,,,3801200,Unfound
,,,,,,,1236850000,1236850000,,,1236850000,Unfound
,,,,,,,4829204,4829204,,,4829204,Unfound
,,,,,,,3811013,3811013,,,3811013,Unfound
,,,,,,,"3801203
845072",,,,,Unfound
,,,,,,,1803866689,1803866689,,,1803866689,Unfound
,,,,,,,4142204,4142204,,,4142204,Unfound
,,,,,,,4811024,4811024,,,4811024,Unfound
,,,,,,,1362850232,1362850232,,,1362850232,Unfound
,,,,,,,4016203,4016203,,,4016203,Unfound
,,,,,,,1684573635,1684573635,,,1684573635,Unfound
,,,,,,,1395239199,1395239199,,,1395239199,Unfound
,,,,,,,845127,845127,,,845127,Unfound
,,,,,,,1670760331,1670760331,,,1670760331,Unfound
,,,,,,,1919330235,1919330235,,,1919330235,Unfound
,,,,,,,845424,845424,,,845424,Unfound
,,,,,,,1234752016,1234752016,,,1234752016,Unfound
,,,,,,,4005014,4005014,,,4005014,Unfound
,,,,,,,1384254005,1384254005,,,1384254005,Unfound
,,,,,,,3801007,3801007,,,3801007,Unfound
,,,,,,,1912724244,1912724244,,,1912724244,Unfound
,,,,,,,4811004,4811004,,,4811004,Unfound
,,,,,,,900374,900374,,,900374,Unfound
,,,,,,,1622360131,1622360131,,,1622360131,Unfound
,,,,,,,1305788288,1305788288,,,1305788288,Unfound
,,,,,,,3801004,3801004,,,3801004,Unfound
,,,,,,,1752604194,1752604194,,,1752604194,Unfound
,,,,,,,3801024,3801024,,,3801024,Unfound
