Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
B Sternberg & Sons,23A,Elizabeth Street,,Manchester,M8 8BB,03801631,1610018635011,5349,2/11/2025,E,
,11-15,Hallcraig Street,,Airdrie,ML6 6AH,03801D01,1800015056069,15629,27/8/2027,E,
,68,Cromford Road,,RIPLEY,DE5 3FP,04828N14,1100008251944,,14/4/2027,E,
Oxford Hotel,18-24,Penywern Road,,London,SW5 9SU,03007202,1200040113888,213110,14/9/2026,E,
,10,Abbotsford Road,,Bristol,BS6 6HB,03801110,2200016326840,3402,16/11/2026,E,
,,Quarry Steps Clifton,,Bristol,BS8 2UD,03801110,2200016370885,2132,3/1/2026,E,
,200a,Bury Road,,BURY,BL8 3DX,03801014,1610028694663,12615,1/9/2027,E,
Tyn Lon Garage,,Ffordd Caergybi,,Llanfairpwllgwyngyll,LL61 5SX,00845D04,1300035431805,,1/4/2026,E,
,15,St. Peg Lane,,CLECKHEATON,BD19 3SA,0482902C,2325461311018,,12/10/2025,E,
,,1A GARRATT CLOSE,,CROYDON,CR0 4PW,03801201,1900060189119,15104,1/10/2028,E,
"JONIC ENGINEERING LI, 2A",,SPEEDWELL ROAD,,BIRMINGHAM,B25 8EU,00845L02,1420017100004,,1/4/2026,E,
,231,Violet Lane,,Croydon,CR0 4HN,03801204,1900029109780,26716,1/7/2026,E,
,69,Shakspeare Walk,,London,N16 8TB,03801202,1200037882741,3979,2/11/2025,E,
Chameleon,244,Denton Lane,,Oldham,OL9 8PE,03801004,1610002188463,3183,31/7/2026,E,
Queensbury Baptist Chapel,,Chapel Lane,,Bradford,BD13 2PZ,0481102B,2390000012838,1795,2/11/2025,E,
,2,George Street,,Plymouth,PL1 4HN,07801N13,2200030069170,6922,15/3/2026,E,
Manor House,,Arksey Lane,,Doncaster,DN5 7TR,0380102A,2334967460914,52835,15/6/2026,E,
,41-45,Prontaprint,,Birmingham,B6 4HT,03801N14,1414032431002,66073,2/7/2026,E,
"Unit 33, The I O Centre",,Armstrong Road,,LONDON,SE18 6RS,00900071,1200052005221,,27/3/2026,E,
,29,Swinegate,,York,YO1 8AZ,0380102D,1591016352751,155967,5/3/2027,E,
60a,,Birley Moor Road,,Sheffield,S12 4WD,0481502B,2335910844011,7916,28/1/2028,E,
Atlas,8,St. Davids Road South,,Lancashire,FY8 1TB,04005024,1610004555270,41961,7/9/2027,E,
,164,Tonge Moor Road,,"Bolton, LANCASHIRE",BL2 2HN,03801631,1610029841061,5546,1/4/2026,E,
,,58-62 Bristol Hill,,Bristol,BS4 5AB,03801110,2200015197777,8171,7/11/2026,E,
,1,Courthouse Lane,,London,N16 7YA,03801202,1200052016000,3,5/12/2026,E,
First Floor,,3A Mitcham Road,,Croydon,CR0 3RU,03801202,1900070808185,12316,21/4/2028,E,
Farm Building,,Village Farm,,PICKERING,YO18 7LE,0380102B,1580000899477,5589,27/1/2027,E,
80A,,Tower Road,,Newquay,TR7 1LY,03800110,2200022102413,,2/11/2025,D,
,,Ripley Road,,BRADFORD,BD4 7EX,0380102D,2380000348837,58479,2/4/2028,E,
,24,Green Lane,,Dagenham,RM8 1XU,03801202,1200039855466,,12/7/2026,E,
,21,Worship Stree,,London,EC2A 2DW,03801204,1200052253983,8813,2/11/2025,E,
First & Second Floor,9,Queens Road,,BRIGHTON,BN1 3WA,03801202,1900031389495,2212,3/4/2026,E,
Jan Wilkinson And Son Ltd,334,Park Lane,,Poulton Le Fylde,FY6 0LU,00845074,1620001136540,,13/9/2027,E,
,,Novers Park Road,,Bristol,BS4 1RN,03801N13,2200015564615,56430,15/12/2025,E,
St Stephens Parish Church,,Weir Road,,London,SW12 0LT,03801203,1200041789983,3661,2/11/2025,E,
Residential Home,71,Ronalds Road,,London,N5 1XB,03801202,1200034457000,2632,19/11/2025,E,
,,Rawtenstall Road End,,ROSSENDALE,BB4 6QE,04811014,1610022691374,21529,10/9/2027,E,
Vithal House,86,North Street,,Manchester,M8 8RA,00800801,1600000066242,,2/11/2025,D,
,12-14,Adelaide Street,,BRADFORD,BD5 0EA,0380102A,2312708544110,1636,2/11/2025,E,
,125,High Street,,NORTHALLERTON,DL7 8PQ,0090002D,1591021389930,,1/7/2027,E,
EYRES MONSELL PRIMARY SCHOOL,,Simmins Crescent,,LEICESTER,LE2 9AH,03030N14,1100013835048,164893,9/4/2026,E,
,1,Pegasus Way,,Melksham,SN12 6TR,03801H09,2000006524556,25468,3/4/2026,E,
First Floor,2,,,Brunswick Road,BN3 1DG,03801203,1900045335979,12364,26/9/2027,E,
,508,Wimborne Road,,Bournemouth,BH9 2EX,04576140,2000020872210,,6/9/2026,E,
,,Poynders Road,,London,SW4 8NX,03801203,1200034357253,4537,4/7/2027,E,
,59,Brady Street,,LONDON,E1 5DW,03801203,1200039035361,8824,10/9/2027,E,
,,Henry Street,,ROCHDALE,OL11 1EN,03801631,1630000491698,13538,2/11/2025,D,
Travellers Rest,,Trevarrian,,NEWQUAY,TR8 4AQ,06027N14,2200030114186,60549,12/2/2026,E,
Bradford M D C (s0125e),25,Hallfield Road,,Bradford,BD1 3RP,0380102B,2316102331517,17637,2/3/2028,E,
Scales Farm,,Berrier,,Penrith,CA11 0XE,03801204,1610032022529,9918,8/11/2026,E,
Coalport II,,Stafford Business Park,,Telford,TF3 3BD,00845127,1422410000007,,3/11/2025,E,
,44,Bridge Street,,Mexborough,S64 8AP,0482802C,2335870266112,15770,6/1/2027,E,
,680,Attercliffe Road,,South Yorkshire,S9 3RP,0481102C,2334551296212,15243,3/2/2027,E,
Stairltg Ltg,6,Kenwood Court,,West Sussex,PO22 7EZ,03801H01,2000018601759,263,4/4/2026,E,
UNIT E4,,3 GRAFTON WAY,,BASINGSTOKE,RG22 6HY,03801H01,2000017851501,4183,1/10/2027,E,
,27,Cowper St,,London,EC2A 4AP,03801202,1200024600198,7925,21/8/2026,E,
,724,Christchurch Road,,Bournemouth,BH7 6BZ,03104H34,2000020463479,65311,6/5/2026,E,
,17-23,Lancing Road,,Croydon,CR0 3EN,00900204,1900043000646,,1/10/2026,E,
,69-71,Whitworth Road,,Rochdale,OL12 0RD,03801274,1610012425682,158,30/5/2026,E,
RETAIL UNIT 3,3,HARDMAN SQUARE,,MANCHESTER,M3 3EB,06801054,1640000459440,305775,27/11/2027,E,
218-220,,Church Street,,Blackpool,FY1 3PT,03801631,1610004121911,3226,11/10/2026,E,
,,Barnard Road,,Bradford,BD4 7DX,0380102C,2312720411515,4780,7/4/2026,E,
,69,Regent Street,,BRISTOL,BS15 8LQ,03801110,2200017792750,13565,2/11/2025,E,
,5,Castlecroft Road,,Chester,CH4 7QD,04811E03,1300010255488,16469,1/10/2027,E,
,2,Farmer Street,,London,W8 7SN,03801201,1200022516631,29065,1/10/2026,E,
,266,High Street,,Beckenham,BR3 1DZ,00900204,1200010182189,,1/3/2026,E,
Cheers Hotel,50,Coronation Street,,Blackpool,FY1 4PD,04811004,1610004102788,3641,17/1/2027,E,
The Ropewalk,,,,Southwell,NG25 0EW,00845L02,1100770781507,,9/10/2026,E,
,12,Elbow Lane,,Liverpool,L37 4AW,03801D03,1300000136445,20664,1/10/2026,E,
The Royal Oak,,Harwich Road,,Colchester,CO4 3HP,03801203,1012611516405,26477,27/8/2027,E,
Moore's Bakery Ltd,6,Jubilee Road,,Doncaster,DN1 2UF,0084505A,2336592525516,,19/3/2026,E,
,168-170,Londonderry Lane,,SMETHWICK,B67 7EN,04811N14,1417408170003,25280,2/7/2026,E,
,611,Walsall Road,,Birmingham,B42 1EH,03801007,1417508421000,11405,10/5/2026,E,
Unit A,,Novo Works,,Sheffield,S9 3XN,0481202D,2333902637713,60367,2/8/2026,E,
Outbuilding,,Vicarage Farm,,Delabole,PL33 9DZ,04042210,2200022240503,92,15/4/2026,E,
,85,Donnington Park,,CHICHESTER,PO20 7DU,04811H18,2000018474754,39329,1/10/2027,E,
Unit 16 Links Yard,,Spelman Streeet,,London,E1 5LQ,03801201,1200030081582,936,2/11/2025,E,
,16,Rose Street,,Wokingham,RG40 1XU,03801H02,2000005373499,2401,24/11/2026,E,
"Unit 1,",,Wandle Trading Estate,,Mitcham,CR4 4HW,03800203,1900013081183,,2/11/2025,D,
Waterlip Mill,,Cranmore,,Shepton Mallet,BA4 4RN,00845540,2200030032560,,1/12/2026,E,
,99,Shop & Flat,,Blackpool,FY1 3QX,03801144,1610003644938,,30/8/2027,E,
,1-8,Clinton Street,,NEWARK,NG24 4AE,04811037,1100003123430,8810,12/3/2027,E,
,260,Martin Way,,Morden,SM4 4AW,04807203,1200028113000,,6/10/2027,E,
,10-15,Market Passage,,Cambridge,CB2 3PF,00845072,1015685275049,,6/6/2026,E,
,1b,Carradale Crescent,,GLASGOW,G68 9LE,00845G01,1800036574640,,21/4/2026,E,
,42,Atlantic Way,,BIDEFORD,EX39 1JD,00900N14,2200030079451,,1/10/2027,E,
,55,High Street,,Bristol,BS16 5HD,00900N13,2200017485461,,10/1/2027,E,
,1-3,KINGSTON ROAD,,PORTSMOUTH,PO1 5RX,04044H19,2000052513681,35212,20/8/2026,E,
Ground And Basement,,Victory House,,London,W1B 4EZ,00008072,1200037465680,,7/3/2026,E,
,8,Blantyre Road,,MANCHESTER,M27 5ER,04811024,1610009966801,,1/6/2026,E,
Unit 15,,Rydons Industrial Estate,,Newton Abbot,TQ12 3SJ,03801N12,2200020043528,5309,16/4/2026,E,
,33,Alexandra Street,,SOUTHEND-ON-SEA,SS1 1BW,03800203,1050000107568,,2/11/2025,D,
,9,CHARLOTTE STREET,,,ZE1 0JL,03094P28,1712913265209,17,11/8/2026,E,
B AMPLIVOX ULTRATONE HEARING CARE CENTRE,20,King Street,,Lancashire,FY1 3EJ,03800631,1610003589310,,2/11/2025,D,
,193,Gloucester Crescent,,WIGSTON,LE18 4YH,04817N14,1100039617612,,1/12/2026,E,
,23,Kilmarnock Road,,Prestwick,KA9 2RJ,04001D04,1800035113702,30674,27/4/2026,E,
81-83,,Cato Street,,Birmingham,B7 4TS,03801N12,1411525831005,6005,1/10/2027,E,
,,Limberline Road,,PORTSMOUTH,PO3 5JF,04044H22,2000014298350,10777,3/6/2027,E,
,9,Weller Drive,,Wokingham,RG40 4QZ,03801H04,2000005058631,67762,5/5/2027,E,
Basement,13,Savile Row,,London,W1S 3NE,03801201,1200039646200,12392,6/11/2027,E,
The Green,,Highams Road,,HOCKLEY,SS5 4DG,03136202,1012605783429,11028,5/8/2027,E,
ENGEBRET LTD,,SANDWICK ROAD FILLING STATION,,Stornoway,HS1 2SL,03801P08,1712792951207,182497,1/10/2028,E,
,28,Bell Lane,,SURREY,GU17 0NW,03801H01,2000004858464,12507,12/8/2026,E,
Unit 6 Lincoln Road,,Pocklington Industrial Estate,,York,YO42 2NR,0380102B,2365591563011,,2/11/2025,E,
,,"Unit 4,Norfolk Bridge Business Park",,Sheffield,S4 7YW,0481102B,2380000974923,,16/5/2026,E,
,,Rakehead Lane,,Bacup,OL13 0PB,03800631,1610022885258,,2/11/2025,D,
,,Rannoch Court,,,G67 4LS,03826D03,1800015483616,24757,29/4/2026,E,
The Roundhouse,25,Church Street,,MELKSHAM,SN12 6LS,04044H17,2000006126479,768,2/10/2027,E,
"Unit 4, Orpheus House",,,,Reading,RG7 8TA,00845H86,2000011379722,,20/9/2026,E,
SEASON ELECTRONICS LTD,UNIT 600,NEST BUSINESS PARK,,HAVANT,PO9 5TL,00845H87,2000027401869,,1/1/2027,E,
,290,Shields Road,,Newcastle upon Tyne,NE6 1DX,0090002D,1591010778290,,1/10/2026,E,
Pro Tech Precision,,Station Road West,,Aldershot,GU12 5QD,00845H89,2000027416350,,5/3/2026,E,
,20,Hessary Drive,,PLYMOUTH,PL6 7DG,03801N12,2200010648703,33306,13/10/2026,E,
,61,Shirland Road,,London,W9 2JD,04800203,1200027069130,,8/6/2026,D,
Unit 28b,,Burnett Business Park,,Bristol,BS31 2ED,03801N13,2200041302873,20083,10/9/2027,E,
