Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
Unit G,,Smarden Business Estate,,Ashford,TN27 8QL,04811202,1900013219772,10496,,E,
SHEFFIELD AERO CLUB,,Netherthorpe Aerodrome,,Worksop,S80 3JQ,0380102D,2331774985714,18097,,E,
,4,High Street,,Stoke-On-Trent,ST7 4RL,03801N14,1416404610000,18890,,E,
,69,King's Cross Road,,LONDON,WC1X 9LN,03801202,1200026761222,5573,,E,
,1,Oaten Hill Place,,CANTERBURY,CT1 3HJ,03801202,1900000153378,3635,,E,
44,,GEORGE STREET,,MANCHESTER,M1 4HF,00845801,1600000005286,,,E,
,19-20,Great Sutton Street,,London,EC1V 0DR,00900204,1200050509244,,,E,
Priestbridge,,Morpeth,,,NE61 3DG,0090002C,1591024568350,,,E,
,,376B Doncaster Road,,Barnsley,S70 3RH,0380102C,2330607125611,434,,D,
Racehorse Inn,,Wellbrook Street,,Tiverton,EX16 5JW,00845N13,2200030083012,,,E,
,11,Church Street,,Poulton-Le-Fylde,FY6 7AP,03801144,1610004323196,15715,,E,
100,,High Street,,Carnoustie,DD7 6AE,03094P27,1716686183001,23,,E,
,,,,,,3800201,3800201,3800201,3800201,,3800201
,,,,,,3802202,3802202,3802202,3802202,,3802202
,,,,,,5800998,5800998,5800998,5800998,,5800998
The Ambassador,24,Bank Street,,Irvine,KA12 0AD,03801D04,1800017337829,29158,,E,
Raywaite Accident Repairs,18,Cornwall Street,,Manchester,M11 2PS,03801131,1610001350230,14140,,E,
,127,Fairleigh,,SHEFFIELD,S2 1LB,0380102C,2331333112918,11197,,E,
Elmsleigh Residential Home,,St. Andrews Road,,Par,PL24 2LX,03801N14,2200022397914,98567,,E,
,53,Bedford Hill,,LONDON,SW12 9EZ,03801201,1200028713639,341,,E,
,,39-49 Alexander Street,,Airdrie,ML6 0BA,03801D04,1800035118125,85663,,E,
Tyhen,,Ferwig,,CARDIGAN,SA43 1QJ,04807N14,2199999163954,180908,,E,
B AMPLIVOX ULTRATONE HEARING CARE CENTRE,20,King Street,,Lancashire,FY1 3EJ,03800631,1610003589310,,,D,
,33,Hildens Drive,,Reading,RG31 5HY,03801H02,2000011441502,29274,,E,
,8,The Terrace,,Penzance,TR18 2TZ,00900N13,2200023122182,,,E,
,,Gibb Street,,BIRMINGHAM,B9 4AA,03801007,1412875211005,,,E,
The Rock Inn,,Rock Hill,,Braunton,EX33 1JW,00900N14,2200030077278,,,E,
Troon Portland Bowling Club,,Shore Road,,Troon,KA10 6AG,03826D02,1800028891046,16979,,E,
Trelavour Stores,,St.dennis,,St. Austell,PL26 8AR,03800N12,2200022456436,,,D,
Pss (London) Limited,124,Mile End Road,,London,E1 4UN,03801204,1200029072589,58007,,E,
Manor Park,3,Boleyn Court,,Runcorn,WA7 1SR,00900D03,1300005585911,,,E,
,,ST ANDREWS ROAD,,PAR,PL24 2LX,03801N14,2200022397826,18482,,E,
Spectrum Electrical Engineers,10,Coton Lane,,Birmingham,B23 6TP,03801007,1413395721004,80,,E,
,2,Station Road,,WIGSTON,LE18 2DH,04031N14,1100013545065,56166,,E,
,12a,North Parade,,Bath,BA2 4AL,03801N14,2200040034582,51629,,E,
8-14,,TALBOT SQUARE,,LONDON,W2 1TS,00845071,1200010047718,,,E,
,11,Fitzwilliam Street,,Hyland Common,S74 0NJ,0482902D,2333328420013,65612,,E,
Unit 5 The Aerodrome,,Stoke Road,,Cheltenham,GL52 7RS,03801N14,1410307661001,,,E,
,4,New Market,,MORPETH,NE61 1PS,0084502D,1591060253936,,,E,
UNIT 18,,SOUTHFIELDS ROAD,,DUNSTABLE,LU6 3EJ,00845072,1014568028190,,,E,
Association,,East View Avenue,,Cramlington,NE23 1DY,0380102B,1591018521891,6316,,E,
,,,,,,3006203,3006203,3006203,3006203,,3006203
,,Northwich Road,,NORTHWICH,CW8 3EU,03801D04,1300008437028,39918,,E,
,,Unit 2,,Leicester,LE8 6HP,03801N14,1100039622817,,,E,
Unit 25,,"Izons Industrial Estate, Oldbury Road",,WEST BROMWICH,B70 9BS,03801N13,1413857460004,22835,,E,
Batley Rafa,,Cambridge Street,,Batley,WF17 5JH,0382602C,2353473595910,13539,,E,
Oxhill Central Club,1,Eden Terrace,,Co.Durham,DH9 7LW,0380102A,1591023659031,,,E,
Park Club Institute,,Gurth Avenue,,Doncaster,DN3 2LP,0380102D,2331557331912,34779,,E,
New Group Practice Surgery,,King Street,,Clitheroe,BB7 9SL,03801024,1610014213418,31555,,E,
Unit 3,,Arden Road,,Birmingham,B8 1DL,00845127,1422265100003,,,E,
Phatehials Launderette,85,Parliament Road,,Middlesborough,TS1 4JF,0380102B,1591014707869,21345,,E,
,9,Luke Street,,LONDON,EC2A 4PX,03801201,1200042533162,730,,E,
,160,Warwick Road,,SCUNTHORPE,DN16 1EU,0380102B,2374654470016,9749,,E,
,,,,,,171593,171593,171593,171593,,171593
,,High Street,,Henfield,BN5 9DB,00900204,1900045384406,,,E,
,,,,,,3801014,3801014,3801014,3801014,,3801014
,7a,Brooks Lane,,MIDDLEWICH,CW10 0JH,04009D01,1300007799900,375,,E,
244,,UPPER TOOTING ROAD,,LONDON,SW17 7EX,03801201,1200051050446,12565,,E,
,,Saffron Way,,LEICESTER,LE2 6UP,04811N12,1100013860105,4869,,E,
Folly Hall Mills,,ST THOMAS ROAD,,HUDDERSFIELD,HD1 3LT,0380102B,2380001455186,5678,,E,
,5,Lintmill Terrace,,Aberdeen,AB16 7SR,03801P08,1714920192905,24531,,E,
Unit 4A,,Cranfield Road,,Bolton,BL6 4SB,03800131,1620001275350,,,D,
82-86,,Albion Street,,Cheltenham,GL52 2SE,00900N14,1421768100001,,,E,
Unit 5,,Dickinson Place,,Bognor Regis,PO22 2QU,03801H09,2000055171500,,,E,
Bolland Hall,,Bullers Green,,Morpeth,NE61 1DF,0380102A,1591045436748,4120,,E,
,,,,,,10/102025,10/102025,10/102025,10/102025,,
,16-18,Market Street,,Cinderford,GL14 2RX,00900N14,1418285522001,,,E,
,253,Ditchling Road,,BRIGHTON,BN1 6JD,04811202,1900007375886,,,E,
EYRES MONSELL PRIMARY SCHOOL,,Simmins Crescent,,LEICESTER,LE2 9AH,03030N14,1100013835048,164893,,E,
Ferro Fields,,Brixworth Industrial Estate,,Northampton,NN6 9UA,04811N14,1100019961068,,,E,
,,,,,,3007202,3007202,3007202,3007202,,3007202
5-6 PALMER BUSINESS COURT,,MANOR HOUSE ROAD,,NOTTINGHAM,NG10 1LZ,03801N14,1160000900500,56860,,E,
Bearwood Primary And Nursery School,,Barons Road,,Bournemouth,BH11 9UN,03801H09,2000021695864,65226,,E,
,,,,BRANTHAM,CO11 1NH,06873204,1030062024106,81870,,E,
,,Peace Street,,BOLTON,BL3 5LJ,03801131,1610030440985,,,E,
