Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
Cleveland Motor Factors,102,Station Road,,Redcar,TS10 1RQ,0380102B,1591040924182,8175,4/1/2028,E,
Richardson Fabrication,,Skitham Lane,,Preston,PR3 6BE,03801014,1620000272998,4191,1/11/2026,E,
J Greeley Butcher,27,Winter Hey Lane,,Bolton,BL6 7AD,04811024,1610030329099,96410,11/8/2027,E,
Manor House,,Arksey Lane,,Doncaster,DN5 7TR,0380102A,2334967460914,52835,15/6/2026,E,
60a,,Birley Moor Road,,Sheffield,S12 4WD,0481502B,2335910844011,7916,28/1/2028,E,
,1,Kings Road,,Bristol,BS4 3HH,04800251,2200015272547,,2/11/2025,D,
,9,High Street,,Billericay,CM12 9BE,04811204,1012564606986,17722,17/9/2027,E,
148,,HANSON LANE,,HALIFAX,HX1 5PQ,0084505A,2326532948012,,1/7/2027,E,
,30,Hertford Road,,London,N1 5QT,00900204,1200061095597,,8/10/2027,E,
Bezzells Farm,,Woodrow Road,,MELKSHAM,SN12 7RE,04044H17,2000006144325,3366,1/2/2027,E,
,38,Church Road,,HIGHBRIDGE,TA9 4RL,00845N13,2200030042559,,8/9/2026,E,
GRACE PATTERSONS,257,HIGH STREET,,ARBROATH,DD11 1EE,04089P11,1716584532520,611,2/11/2025,E,
,105,Coventry Street,,BIRMINGHAM,B5 5NY,00845127,1441003077004,,1/8/2027,E,
,,,,,,845801,845801,845801,,,845801
,,,,,,4138203,4138203,4138203,,,4138203
,,Methodist Church,,Bideford,EX39 6AB,03046110,2200011657977,4196,2/11/2025,E,
,,249-251 Dickson Road,,Blackpool,FY1 2JH,04005171,1610003700087,11737,12/8/2027,E,
,3,Farm Road,,Hove,BN3 1FB,04829201,1900015374220,16613,8/9/2026,E,
,34,Camden Road,,LONDON,NW1 9DP,03801201,1200036907800,17407,23/7/2027,E,
,74,Green Road,,Bournemouth,BH9 1EB,03800H01,2000020700399,,2/11/2025,D,
The Church,,,,Carmarthen,SA33 4PR,03801200,2199999092860,,1/3/2027,E,
,701,City Point,,Manchester,M32 0RW,03801024,1610027273620,17200,1/3/2026,E,
Pavilion,,Broadway Road,,LIGHTWATER,GU18 5SJ,03801H01,2000003530219,58,26/9/2027,E,
Day Nursery Adjacent Ponthir School,,Off Caerleon Rd,,Newport,NP18 1GD,03801N13,2100040487939,23330,12/7/2027,E,
,125,High Street,,NORTHALLERTON,DL7 8PQ,0090002D,1591021389930,,1/7/2027,E,
,,,,,,111662,111662,111662,,,111662
,,,,,,305775,305775,305775,,,305775
,,,,,,900456,900456,900456,,,900456
,,,,,,3800007,3800007,3800007,,,3800007
,,1B The Cross,,Buckley,CH7 2ED,03802D01,1300009208771,755,8/9/2026,E,
Fleetwood Dental Laboratories,145,Poulton Road,,Fleetwood,FY7 7AP,03801004,1610004894603,4699,15/8/2027,E,
,9,Redcatch Road,,Bristol,BS4 2EP,03801110,2200015312508,3828,1/4/2026,E,
192/193,,Speldhurst Close,,KENT,TN23 5TS,03801204,1900028217847,55071,2/11/2025,E,
Basement,1,St. Thomas Street,,London,SE1 9RY,03800202,1200030800307,,2/11/2025,D,
