Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
Bridge House,,Green Hills,,Canterbury,CT4 6LE,04004204,1900017203553,35851,28/7/2027,E,
,5,Uxbridge Road,,LONDON,W12 8LJ,03801201,1200032981786,17204,2/11/2025,E,
Welcome Change Community Hub,316,Kitts Green Road,,Birmingham,B33 9SB,03801N12,1410872151005,5546,1/4/2026,E,
E H Middleton & Son Decorators Ltd,986a,Abbeydale Road,,Sheffield,S7 2QF,0380102C,2331720670719,370,2/11/2025,E,
,4,Great Cliffe Court,,Barnsley,S75 3SP,0380102D,2380000876640,9709,2/11/2025,E,
Unit 1,565,Blandford Road,,Poole,BH16 5BW,03801H06,2000022286234,4185,15/7/2026,E,
,10,Bridge Sreet,,Bishop's Stortford,CM23 2JY,04138203,1012753427328,51762,8/2/2026,E,
ROBERT HOPKINS ENVIRONMENTAL,,BULLOCK STREET,,WEST BROMWICH,B70 7HE,00845H02,1470000270344,,5/4/2026,E,
,5,Mangravet Avenue,,Maidstone,ME15 9BQ,04811202,1900044231220,4365,26/7/2027,E,
YOUTH MINISTRY TRUST,,EMMAUS VILLAGE,,Consett,DH8 9BA,0084505A,1580000429907,,23/8/2026,E,
,,Parsons Bank,,WELSHPOOL,SY21 0RR,04044D03,1300013038065,,2/7/2028,E,
,,Unit F1,,BASINGSTOKE,RG22 6HY,00845H86,2000027428141,,2/3/2026,E,
Unit 7,,Harris Road,,Calne,SN11 9PT,03801H07,2000006786341,12176,1/9/2026,E,
,78,Brook Street,,Chester,CH1 3DN,03801D02,1300010246020,2753,6/3/2026,E,
Matform Business Centre,,Terminus Road,,Chichester,PO19 8UL,03801H02,2000018466949,108177,4/8/2027,E,
,1288,Wimborne Road,,Bournemouth,BH10 7AJ,03801H01,2000020879828,1109,21/2/2026,E,
,,14-15 Beauchamp Place,,London,SW3 1NQ,00845072,1200010251920,,19/9/2027,E,
,1,Worsall Road,,YARM,TS15 9DD,0084505A,1580001159754,,1/1/2028,E,
,99,Uxbridge Road,,London,W12 9DT,03801202,1200032983914,3639,18/9/2026,E,
SOCIAL CLUB,Non-PAF De,Edinburgh Way,,HARLOW,CM20 2DQ,04811202,1012747130842,43678,4/4/2028,E,
Maryland Farm,,Bonness On Solway,,Cumbria,CA7 5AG,04811024,1610031784306,31293,6/8/2027,E,
,,Armstrong Road,,LONDON,SE18 6RS,00845071,1200052005286,,3/6/2027,E,
,,54 Oldfield Road,,Salford,M5 4LZ,03800631,1610018901730,,2/11/2025,D,
Hanley Swan,,Malvern,,Worcs,WR8 0EQ,07800021,1429869100002,,2/11/2025,D,
,154,Church Road,,Hove,BN3 2DL,00900204,1900026428185,,21/3/2026,E,
,18,Frodsham Street,,Chester,CH1 3JL,03801D02,1300010316810,6437,1/9/2026,E,
Tynte Arms Pub,,Enmore,,Bridgwater,TA5 2DP,03801110,2200021381383,15704,7/8/2027,E,
Carpenters Arms,91,Black Lion Lane,,London,W6 9BG,03801204,1200038234670,62431,8/10/2026,E,
Reg:Winchester,,83 High Street,,Winchester,SO23 9AP,03801H02,2000024617308,6159,30/6/2027,E,
Trowers Way Centre,,Holmethorpe Industrial Estate,,Redhill,RH1 2LH,03812204,1900060572529,16545,14/11/2026,E,
BUTLER'S COTTAGE,,OTTERBURN TOWER HOTEL,,Newcastle upon Tyne,NE19 1NS,0084505A,1592001104090,,2/1/2026,E,
,52,Terminal House,,London,SW1W 0AW,03801204,1200027479834,32020,24/11/2026,E,
Island Farm,,Island Farm Road,,Reading,RG7 4ES,03500H03,2000011253036,,15/11/2026,E,
,6,Princess Street,,BURNHAM-ON-SEA,TA8 1EH,04818251,2200021886861,256,15/6/2028,E,
THE HEALTH CLUB,570-574,COMMERCIAL ROAD,,LONDON,E14 7JD,03004204,1200039657976,84614,17/3/2026,E,
,,Higher Suffenton Farm,,Bodmin,PL30 3LN,04808N12,2200022161029,9507,4/9/2026,E,
PORTA VIA,179,BANK STREET,,COATBRIDGE,ML5 1HA,03826D04,1800015652587,26760,9/8/2027,E,
,1,Tower Street,,Coventry,CV1 1JS,06801N12,1100039357848,5181,11/9/2026,E,
New Sports Hall,,Chequers Way,,Reading,RG5 3EL,00845H86,2000027850480,,23/8/2027,E,
,27,Westgate,,Tadcaster,LS24 9JB,0380102B,2344545744510,13393,3/12/2027,E,
,57,High Street,,BRIDGWATER,TA6 3BG,03801N12,2200021372175,8505,15/6/2027,E,
Dual Brown & Sons Ltd,,Ross Road,,Stockton-on-Tees,TS18 2NH,0084505B,1599033649258,,1/9/2027,E,
Sawmill,,Heathside Millstone Lane,,Nantwich,CW5 5PN,03801D04,1300007867212,25648,18/3/2026,E,
,24,Leslie Street,,BLAIRGOWRIE,PH10 6AH,03801P07,1717388815003,7874,2/11/2026,E,
Unit 1,9,Leigh Road,,Havant,PO9 2ES,03801H01,2000027723063,1678,5/9/2026,E,
,31,West Street,,Blandford Forum,DT11 7AW,03801H06,2000050607799,20645,10/8/2027,E,
LL supply,,mateo drive,,Bournemouth,BH9 2FD,03801H01,2000020932598,,29/7/2026,E,
,88,Borough High Street,,London,SE1 1LL,00800071,1200010187052,,2/11/2025,D,
,25,The Downs,,Altrincham,WA14 2QD,04811024,1610027478960,105238,12/8/2026,E,
ROOF TOP CAR PARK,,Stonebow House,,YORK,YO1 7NP,03800998,1591016344290,,2/11/2025,D,
The Barn Fruit Farm,,Ely Road,,Chittering,CB25 5PH,00900202,1023503251505,,15/4/2028,E,
,,Stanmoor Road,,BRIDGWATER,TA7 0RX,03801110,2200040916303,7,4/2/2026,E,
,16-17,Chancel Way,,Halesowen,B62 8SE,04811N13,1414391190008,828,20/11/2025,E,
,38,Church Road,,HIGHBRIDGE,TA9 4RL,00845N13,2200030042559,,8/9/2026,E,
,,"A North Shore,Crawford Lodge",,Ardrossan,KA22 8PG,00900D04,1800035226220,,19/3/2026,E,
J Greeley Butcher,27,Winter Hey Lane,,Bolton,BL6 7AD,04811024,1610030329099,96410,11/8/2027,E,
,1,Kings Road,,Bristol,BS4 3HH,04800251,2200015272547,,2/11/2025,D,
Retail Unit,24,Queen Street,,Portsmouth,PO1 3HN,03801H06,2000053656887,7772,24/6/2028,E,
Cleveland Motor Factors,102,Station Road,,Redcar,TS10 1RQ,0380102B,1591040924182,8175,4/1/2028,E,
Richardson Fabrication,,Skitham Lane,,Preston,PR3 6BE,03801014,1620000272998,4191,1/11/2026,E,
,9,High Street,,Billericay,CM12 9BE,04811204,1012564606986,17722,17/9/2027,E,
,316,Barnsley Road,,Barnsley,S72 8TD,0380102A,2334809045913,2834,13/5/2027,E,
,41,Lion House,,Leeds,LS1 2ED,0380102C,2340270871417,8650,12/3/2026,E,
,60,Spencer Street,,BIRMINGHAM,B18 6DS,00845127,1410136831000,,17/9/2026,E,
,,189a Oxford Street,,Barrow-In-Furness,LA14 5QF,03801004,1610005800420,3671,22/3/2026,E,
,3,Farm Road,,Hove,BN3 1FB,04829201,1900015374220,16613,8/9/2026,E,
,,249-251 Dickson Road,,Blackpool,FY1 2JH,04005171,1610003700087,11737,12/8/2027,E,
,74,Green Road,,Bournemouth,BH9 1EB,03800H01,2000020700399,,2/11/2025,D,
,701,City Point,,Manchester,M32 0RW,03801024,1610027273620,17200,1/3/2026,E,
The Church,,,,Carmarthen,SA33 4PR,03801200,2199999092860,,1/3/2027,E,
Forty Two The Calls,42,The Calls,,Leeds,LS2 7EW,0090002D,2346532811116,,2/11/2025,E,
Pavilion,,Broadway Road,,LIGHTWATER,GU18 5SJ,03801H01,2000003530219,58,26/9/2027,E,
,34,Loampit Hill,,London,SE13 7SW,03801203,1200036688838,17636,9/7/2027,E,
,23,Greenhey Place,,Lancashire,WN8 9SA,03801014,1610010886401,21303,1/3/2027,E,
,788,Oldham Road,,Manchester,M35 9FE,03801004,1610023796592,6940,9/4/2028,E,
The Barn,,Parnell Road,,Clevedon,BS21 6DD,06800001,2200032096398,,1/1/2017,D,
Shop;5a,,,,Bognor Regis,PO21 4TW,03801H02,2000019175235,23099,23/3/2026,E,
,,1B The Cross,,Buckley,CH7 2ED,03802D01,1300009208771,755,8/9/2026,E,
Fleetwood Dental Laboratories,145,Poulton Road,,Fleetwood,FY7 7AP,03801004,1610004894603,4699,15/8/2027,E,
,9,Redcatch Road,,Bristol,BS4 2EP,03801110,2200015312508,3828,1/4/2026,E,
,334A,Lewisham High Street,,London,SE13 6LE,04874203,1200021885280,34691,27/3/2026,E,
THE WHITE HART PUB,0,Wrington Road,,Bristol,BS49 5AR,00845N14,2200030037860,,3/2/2026,E,
,348,Chester Road,,MANCHESTER,M16 9EZ,,1610027203429,1420,2/11/2025,1,
,87,Whiteladies Road,,Bristol,BS8 2NT,03801110,2200016350080,2626,15/9/2028,E,
,26,South View,,STANLEY,DH9 7UD,0480702B,1591020977240,7303,1/7/2028,E,
,15,Wood Street,,Bolton,BL1 1EB,04511591,1610029818499,,2/11/2025,D,
,1c,Eshton Road,,SKIPTON,BD23 3SE,0380102B,2310174833011,7206,1/4/2028,E,
,0,Rose Avenue,,Tyne And Wear,NE16 4PF,0084502D,1591023846337,,1/4/2026,E,
Launderette,8,Grosvenor Road,,Aldershot,GU11 1DP,03801H07,2000016979594,13287,16/8/2027,E,
,397,Lewisham High Street,,London,SE13 6PG,03801204,1200021886098,19381,30/9/2027,E,
,9a,Gate Lane,,Sutton Coldfield,B73 5TR,03801007,1419186621001,663,11/9/2026,E,
OLD PREBENDAL HOUSE,,STATION ROAD,,CHIPPING NORTON,OX7 6BQ,00845H86,2000027363734,,1/4/2027,E,
,40,Wilton Road,,Reading,RG30 2SS,03801H02,2000011521619,4079,2/11/2025,E,
,128,High Street,,BRISTOL,BS16 5HH,04042210,2200017470181,,2/11/2025,E,
Old Laundry Block,,Clevedon Hall Estate,,North Somerset,BS21 7RQ,03801110,2200040324389,7976,1/1/2026,E,
Units 3 & 4,6,Wallis Road,,Middlesbrough,TS6 6JB,0380102C,1591056976280,,11/1/2026,E,
,15,St. Peg Lane,,CLECKHEATON,BD19 3SA,0482902C,2325461311018,,12/10/2025,E,
