Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,112842,112842,,,112842,Unfound
,,,,,,,239745,239745,,,239745,Unfound
,,,,,,,128521,128521,,,128521,Unfound
,,,,,,,141301,141301,,,141301,Unfound
,,,,,,,116196,116196,,,116196,Unfound
,,,,,,,101978,101978,,,101978,Unfound
,,,,,,,121504,121504,,,121504,Unfound
,,,,,,,137467,137467,,,137467,Unfound
,,,,,,,133246,133246,,,133246,Unfound
,,,,,,,110637,110637,,,110637,Unfound
,,,,,,,115536,115536,,,115536,Unfound
,,,,,,,3338941908,,,,,Unfound
,,,,,,,110773,110773,,,110773,Unfound
,,,,,,,125458,125458,,,125458,Unfound
,,,,,,,1591035609670,,,,,Unfound
,,,,,,,141443,141443,,,141443,Unfound
,,,,,,,61134007,,,,,Unfound
,,,,,,,62472201,,,,,Unfound
,,,,,,,148809,148809,,,148809,Unfound
,,,,,,,182591,182591,,,182591,Unfound
,,,,,,,3384948405,,,,,Unfound
,,,,,,,140540,140540,,,140540,Unfound
,,,,,,,108106,108106,,,108106,Unfound
,,,,,,,1610009109547,,,,,Unfound
,,,,,,,139386,139386,,,139386,Unfound
,,,,,,,178183,178183,,,178183,Unfound
,,,,,,,101924,101924,,,101924,Unfound
,,,,,,,102913,102913,,,102913,Unfound
,,,,,,,1200038365718,,,,,Unfound
,,,,,,,103318,103318,,,103318,Unfound
,,,,,,,1012681156723,,,,,Unfound
,,,,,,,135068,135068,,,135068,Unfound
,,,,,,,1217722780,1217722780,,,1217722780,Unfound
,,,,,,,150378,150378,,,150378,Unfound
,,,,,,,236-240,236-240,,,,Unfound
,,,,,,,8826721505,8826721505,,,8826721505,Unfound
,,,,,,,134343,134343,,,134343,Unfound
,,,,,,,76886906,76886906,,,76886906,Unfound
,,,,,,,649-655,649-655,,,,Unfound
,,,,,,,71315309,71315309,,,71315309,Unfound
,,,,,,,127314,127314,,,127314,Unfound
,,,,,,,128731,128731,,,128731,Unfound
,,,,,,,1217074186,1217074186,,,1217074186,Unfound
,,,,,,,1159206836,1159206836,,,1159206836,Unfound
,,,,,,,110091,110091,,,110091,Unfound
,,,,,,,1564822373,1564822373,,,1564822373,Unfound
,,,,,,,113737,113737,,,113737,Unfound
,,,,,,,1610027440344,,,,,Unfound
,,,,,,,1214397541,1214397541,,,1214397541,Unfound
,,,,,,,130875,130875,,,130875,Unfound
,,,,,,,1949829378,1949829378,,,1949829378,Unfound
,,,,,,,149647,149647,,,149647,Unfound
,,,,,,,7799006067,7799006067,,,7799006067,Unfound
,,,,,,,100755,100755,,,100755,Unfound
,,,,,,,1159795080,1159795080,,,1159795080,Unfound
,,,,,,,115000,115000,,,115000,Unfound
,,,,,,,1214756233,1214756233,,,1214756233,Unfound
,,,,,,,124184,124184,,,124184,Unfound
,,,,,,,1451821446,1451821446,,,1451821446,Unfound
,,,,,,,198515,198515,,,198515,Unfound
,,,,,,,1214545100,1214545100,,,1214545100,Unfound
,,,,,,,572391,572391,,,572391,Unfound
,,,,,,,1215540905,1215540905,,,1215540905,Unfound
,,,,,,,165678,165678,,,165678,Unfound
,,,,,,,1159461512,1159461512,,,1159461512,Unfound
,,,,,,,107170,107170,,,107170,Unfound
,,,,,,,7957669105,7957669105,,,7957669105,Unfound
,,,,,,,166984,166984,,,166984,Unfound
,,,,,,,1212333505,1212333505,,,1212333505,Unfound
,,,,,,,100137,100137,,,100137,Unfound
,,,,,,,7803704560,7803704560,,,7803704560,Unfound
,,,,,,,108231,108231,,,108231,Unfound
,,,,,,,102732,102732,,,102732,Unfound
,,,,,,,2353125138916,,,,,Unfound
,,,,,,,112042,112042,,,112042,Unfound
,,,,,,,1858468106,1858468106,,,1858468106,Unfound
,,,,,,,111875,111875,,,111875,Unfound
,,,,,,,1216439460,1216439460,,,1216439460,Unfound
,,,,,,,128539,128539,,,128539,Unfound
,,,,,,,1215512121,1215512121,,,1215512121,Unfound
,,,,,,,216697,216697,,,216697,Unfound
,,,,,,,1158375289,1158375289,,,1158375289,Unfound
,,,,,,,143308,143308,,,143308,Unfound
,,,,,,,1200035716740,,,,,Unfound
,,,,,,,1159348000,1159348000,,,1159348000,Unfound
,,,,,,,239648,239648,,,239648,Unfound
,,,,,,,1604833666,1604833666,,,1604833666,Unfound
,,,,,,,104677,104677,,,104677,Unfound
,,,,,,,1159475894,1159475894,,,1159475894,Unfound
,,,,,,,73339805,,,,,Unfound
,,,,,,,142557,142557,,,142557,Unfound
,,,,,,,1392877827,1392877827,,,1392877827,Unfound
,,,,,,,145720,145720,,,145720,Unfound
,,,,,,,1253883585,1253883585,,,1253883585,Unfound
,,,,,,,105320,105320,,,105320,Unfound
,,,,,,,1269593773,1269593773,,,1269593773,Unfound
